OBJECTID,ATCOCODE,GRIDTYPE,EASTING,NORTHING,LON,LAT,COMMONNAME,IDENTIFIER,DIRECTION,STREET,LANDMARK,NATGAZID,NATGAZLOCA,PARENTLOCA,GRANDPAREN,TOWN,SUBURB,STOPTYPE,BUSSTOPTYP,BUSREGISTR,RECORDSTAT,NOTES,LOCALITYCE,SMSNUMBER,LASTCHANGE
128,410000022758,,428772,555416,-1.55296000000,54.89267000000,AYTON,S,S,AYTON ROAD,OPPOSITE TURNSTONE DRIVE 50M NORTH,E0030738,Ayton (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,AYTON,BCT,MKD,PPT,ACT,,Y,,20/12/2004
129,410000022759,,428923,555144,-1.55063000000,54.89021000000,DUNLIN DRIVE AYTON N/B,N,N,DUNLIN DRIVE,OUTSIDE THE CHERRY TREE PUBLIC HOUSE,E0030738,Ayton (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,AYTON,BCT,MKD,OTH,ACT,,Y,,20/12/2004
130,410000022760,,428925,555170,-1.55059000000,54.89045000000,DUNLIN DRIVE AYTON S/B,S,S,DUNLIN DRIVE,OPPOSITE THE CHERRY TREE PUBLIC HOUSE,E0030738,Ayton (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,AYTON,BCT,MKD,OTH,ACT,,Y,,20/12/2004
131,410000022770,,429628,555199,-1.53963000000,54.89067000000,LAMBTON,SW,SW,MALVERN ROAD,OUTSIDE THE HIGHWAYMAN PUBLIC HOUSE,E0030738,Ayton (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,LAMBTON,BCT,MKD,PPT,ACT,,Y,,20/12/2004
132,410000022771,,429620,555202,-1.53976000000,54.89069000000,LAMBTON,NE,NE,MALVERN ROAD,OPPOSITE THE HIGHWAYMAN PUBLIC HOUSE,E0030738,Ayton (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,LAMBTON,BCT,MKD,PPT,ACT,,Y,,20/12/2004
133,410000022772,,429760,555415,-1.53755000000,54.89260000000,MALVERN RD LAMBTON S/B,S,S,MALVERN ROAD,OPPOSITE CHILTERN CLOSE ENTRANCE,E0031249,Washington (Sunderland Urban Area),Sunderland Urban Area,,SL,LAMBTON,BCT,MKD,OTH,ACT,,Y,,20/12/2004
134,410000022773,,429764,555459,-1.53749000000,54.89299000000,MALVERN RD LAMBTON N/B,N,N,MALVERN ROAD,OUTSIDE CHILTERN CLOSE ENTRANCE,E0031249,Washington (Sunderland Urban Area),Sunderland Urban Area,,SL,LAMBTON,BCT,MKD,OTH,ACT,,Y,,20/12/2004
135,410000022927,,429213,557222,-1.54590000000,54.90887000000,ARMSTRONG INDUSTRIAL ESTATE,E,E,ARMSTRONG INDUSTRIAL ESTATE,OUTSIDE B&Q SUPERSTORE,E0030771,Blackfell,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,ARMSTRONG,BCT,MKD,OTH,ACT,,Y,,12/05/2005
136,410000022928,,429110,557239,-1.54750000000,54.90903000000,ARMSTRONG INDUSTRIAL ESTATE,E,E,ARMSTRONG INDUSTRIAL ESTATE,OUTSIDE B&Q,E0030771,Blackfell,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,ARMSTRONG,BCT,MKD,PPT,ACT,,Y,,20/12/2004
137,410000022929,,429126,557170,-1.54726000000,54.90841000000,ARMSTRONG ROAD,W,W,ARMSTRONG ROAD,OPPOSITE B&Q SUPERSTORE,E0030771,Blackfell,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,ARMSTRONG,BCT,MKD,OTH,ACT,,Y,,05/07/2005
138,410000023002,,431139,558799,-1.51569000000,54.92293000000,STEPHENSON INDUSTRIAL ESTATE,S,S,STEPHENSON ROAD,150M SOUTH OF NORTHUMBRIA CENTRE,E0031198,Stephenson,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,STEPHENSON,BCT,MKD,PPT,ACT,,Y,,15/04/2005
139,410000023003,,431126,558842,-1.51589000000,54.92331000000,STEPHENSON INDUSTRIAL ESTATE,N,N,STEPHENSON ROAD,100M SOUTH OPPOSITE NORTHUMBRIA CENTRE,E0031198,Stephenson,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,STEPHENSON,BCT,MKD,PPT,ACT,,Y,,15/04/2005
140,410000023004,,431161,558622,-1.51536000000,54.92133000000,STEPHENSON RD WASHNTON S/,S,S,STEPHENSON ROAD,OUTSIDE TA CENTRE,E0031198,Stephenson,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,STEPHENSON,BCT,MKD,OTH,ACT,,Y,,21/12/2004
141,410000023005,,431176,558499,-1.51514000000,54.92023000000,STEPHENSON RD WASHNTON N/,N,N,STEPHENSON ROAD,OPPOSITE TA CENTRE,E0031198,Stephenson,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,STEPHENSON,BCT,MKD,OTH,ACT,,Y,,24/05/2005
142,410000023010,,430862,559006,-1.51999000000,54.92480000000,STEPHENSON RD USWORTH E/B,E,E,STEPHENSON ROAD,OPPOSITE ENTRANCE TO USWORTH SCHOOL,E0031229,Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,USWORTH,BCT,MKD,OTH,ACT,,Y,,21/12/2004
143,410000023011,,430780,558984,-1.52127000000,54.92461000000,STEPHENSON RD USWORTH W/B,W,W,STEPHENSON ROAD,OUTSIDE ATHLETIC GROUND USWORTH SCHOOL,E0031229,Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,USWORTH,BCT,MKD,OTH,ACT,,Y,,21/12/2004
144,410000023012,,430547,558693,-1.52494000000,54.92201000000,HEWORTH RD USWORTH S/B,S,S,HEWORTH ROAD,OUTSIDE TENNIS COURTS USWORTH SCHOOL,E0031229,Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,USWORTH,BCT,MKD,OTH,ACT,,Y,,27/05/2005
145,410000023013,,430539,558647,-1.52507000000,54.92160000000,HEWORTH RD USWORTH N/B,N,N,HEWORTH ROAD,OPPOSITE TENNIS COURTS USWORTH SCHOOL,E0031229,Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,USWORTH,BCT,MKD,OTH,ACT,,Y,,21/12/2004
146,410000023014,,430447,558577,-1.52651000000,54.92097000000,COACH RD USWORTH E/B,E,E,COACH ROAD,OUTSIDE ENTRANCE TO PEACEHAVEN COURT,E0031229,Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,USWORTH,BCT,MKD,OTH,ACT,,Y,,21/12/2004
147,410000023015,,430358,558557,-1.52790000000,54.92080000000,COACH RD USWORTH W/B,W,W,COACH ROAD,OUTSIDE ENTRANCE TO COACH ROAD ESTATE,E0031229,Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,USWORTH,BCT,MKD,OTH,ACT,,Y,,21/12/2004
148,410000023016,,430402,558527,-1.52722000000,54.92053000000,COACH RD EST USWORTH S/B,S,S,COACH ROAD,OUTSIDE NO.73 COACH ROAD ESTATE,E0031229,Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,USWORTH,BCT,MKD,OTH,ACT,,Y,,21/12/2004
149,410000023018,,430451,558449,-1.52646000000,54.91982000000,COACH RD EST USWORTH S/B,E,E,COACH ROAD,OUTSIDE NO.82 COACH ROAD ESTATE,E0031229,Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,USWORTH,BCT,MKD,OTH,ACT,,Y,,21/12/2004
150,410000023019,,430555,558442,-1.52484000000,54.91975000000,HEWORTH RD USWORTH N/B,N,N,HEWORTH ROAD,OPPOSITE NO.7 THE PANTILES,E0031229,Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,USWORTH,BCT,MKD,OTH,ACT,,Y,,21/12/2004
151,410000023020,,430571,558393,-1.52459000000,54.91931000000,HEWORTH RD USWORTH S/B,S,S,HEWORTH ROAD,OUTSIDE NO.22 DOUGLAS TERRACE,E0031229,Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,USWORTH,BCT,MKD,OTH,ACT,,Y,,24/05/2005
152,410000023021,,430517,558324,-1.52544000000,54.91870000000,COACH RD EST USWORTH W/B,W,W,COACH ROAD,OUTSIDE ST BEDE'S RC CHURCH,E0031229,Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,USWORTH,BCT,MKD,OTH,ACT,,Y,,21/12/2004
153,410000023022,,430538,558331,-1.52511000000,54.91876000000,COACH RD EST USWORTH E/B,E,E,COACH ROAD,OPPOSITE ST BEDE'S RC CHURCH,E0031229,Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,USWORTH,BCT,MKD,OTH,ACT,,Y,,21/12/2004
154,410000023023,,430250,558423,-1.52960000000,54.91960000000,COACH ROAD ESTATE,NE,NE,COACH ROAD ESTATE,OUTSIDE NO.130 COACH ROAD ESTATE,E0031229,Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,USWORTH,BCT,MKD,PPT,ACT,,Y,,21/12/2004
155,410000023024,,430269,558242,-1.52932000000,54.91797000000,COACH RD EST USWORTH N/B,N,N,COACH ROAD,OUTSIDE NO.155 COACH ROAD ESTATE,E0031229,Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,USWORTH,BCT,MKD,OTH,ACT,,Y,,21/12/2004
156,410000023025,,430340,558126,-1.52822000000,54.91693000000,COACH RD EST USWORTH W/B,W,W,COACH ROAD,OUTSIDE NO.265 COACH ROAD ESTATE,E0031229,Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,USWORTH,BCT,MKD,OTH,ACT,,Y,,21/12/2004
157,410000023027,,430235,558000,-1.52988000000,54.91580000000,THE DRIVE USWORTH W/B,W,W,THE DRIVE,OUTSIDE NO.93 THE DRIVE,E0030969,High Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,USWORTH,BCT,MKD,OTH,ACT,,Y,,21/12/2004
158,410000023028,,430296,558002,-1.52892000000,54.91582000000,THE DRIVE USWORTH E/B,E,E,THE DRIVE,OUTSIDE NO.78 THE DRIVE,E0030969,High Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,USWORTH,BCT,MKD,OTH,ACT,,Y,,21/12/2004
159,410000023030,,430552,558010,-1.52493000000,54.91587000000,HEWORTH RD CONCORD S/B,S,S,HEWORTH ROAD,OUTSIDE HEWORTH CRESCENT,E0031229,Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,CONCORD,BCT,MKD,OTH,ACT,,Y,,21/12/2004
160,410000023032,,430517,557975,-1.52548000000,54.91556000000,THE DRIVE USWORTH E/B,E,E,THE DRIVE,JUNCTION WITH HEWORTH ROAD,E0031229,Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,USWORTH,BCT,MKD,OTH,ACT,,Y,,21/12/2004
161,410000023033,,430526,557936,-1.52534000000,54.91521000000,HEWORTH RD CONCORD N/B,N,N,HEWORTH ROAD,OPPOSITE NO.13 HEWORTH CRESCENT,E0031229,Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,CONCORD,BCT,MKD,OTH,ACT,,Y,,21/12/2004
162,410000023034,,430057,557699,-1.53268000000,54.91311000000,BLUE HOUSE USWORTH E/B,E,E,BLUE HOUSE LANE,OUTSIDE NO.10 BLUE HOUSE LANE,E0030969,High Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,USWORTH,BCT,MKD,OTH,ACT,,Y,,07/07/2005
163,410000023035,,430117,557692,-1.53175000000,54.91304000000,BLUE HOUSE LA ALBANY W/B,W,W,BLUE HOUSE LANE,OPPOSITE WEARDALE AVENUE ENTRANCE,E0030969,High Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,ALBANY,BCT,MKD,OTH,ACT,,Y,,21/12/2004
164,410000023036,,430267,557697,-1.52941000000,54.91308000000,BLUE HOUSE LA ALBANY E/B,E,E,BLUE HOUSE LANE,WEST OF COMMUNITY CENTRE AND GARAGE,E0030969,High Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,ALBANY,BCT,MKD,OTH,ACT,,Y,,21/12/2004
165,410000023038,,430204,557644,-1.53040000000,54.91260000000,ALBANY WAY ALBANY S/B,S,S,ALBANY WAY,OPPOSITE BORROWDALE ENTRANCE,E0030969,High Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,ALBANY,BCT,MKD,OTH,ACT,,Y,,21/12/2004
166,410000023039,,430828,557771,-1.52065000000,54.91371000000,MANOR RD CONCORD N/B,NE,NE,MANOR ROAD,OUTSIDE HOUSE TERRACE ENTRANCE,E0031203,Sulgrave (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,CONCORD,BCT,MKD,OTH,ACT,,Y,,21/12/2004
167,410000023040,,430864,557806,-1.52008000000,54.91402000000,MANOR RD CONCORD S/B,S,S,MANOR ROAD,OPPOSITE RICHARDSON TERRACE,E0031203,Sulgrave (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,CONCORD,BCT,MKD,OTH,ACT,,Y,,21/12/2004
168,410000023041,,431046,557930,-1.51723000000,54.91512000000,MANOR ROAD,W,W,MANOR ROAD,OUTSIDE ROSEBERRY COURT,E0031203,Sulgrave (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,CONCORD,BCT,MKD,OTH,ACT,,Y,,21/12/2004
169,410000023042,,431080,557945,-1.51670000000,54.91525000000,MANOR ROAD,E,E,MANOR ROAD,OPPOSITE ROSEBERRY COURT,E0031203,Sulgrave (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,CONCORD,BCT,MKD,OTH,ACT,,Y,,21/12/2004
170,410000023043,,431448,558020,-1.51095000000,54.91591000000,SULGRAVE,W,W,MARLBOROUGH ROAD,50M EAST OF ST MICHAEL AND ALL ANGEL CHURCH,E0031203,Sulgrave (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,SULGRAVE,BCT,MKD,PPT,ACT,,Y,,21/12/2004
1,410000000066,,437939,555937,-1.40997000000,54.89674000000,BARNES INFANTS AND JUNOIR SCHOOLS,E,E,N/A,BARNES INFANT AND JUNIOR SCHOOL,E0030986,Humbledon,,,SL,HIGH BARNES,BCT,MKD,PPT,ACT,,Y,,24/05/2005
2,410000000067,,431086,555322,-1.51689000000,54.89168000000,BIDDICK SCHOOL,W,W,N/A,BIDDICK SCHOOL,E0030764,Biddick,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,BIDDICK,BCT,MKD,PPT,ACT,,Y,,24/05/2005
3,410000000068,,436783,555645,-1.42803000000,54.89420000000,BROADWAY JUNIOR SCHOOL,E,E,N/A,OUTSIDE BROADWAY JUNIOR SCHOOL,E0031188,Springwell (Sunderland),Sunderland Urban Area,,SL,SPRINGWELL,BCT,MKD,PPT,ACT,,Y,,28/06/2005
4,410000000069,,439651,554594,-1.38346000000,54.88454000000,HILL VIEW INFANTS SCHOOL,S,S,N/A,HILL VIEW INFANTS SCHOOL,E0030913,Grangetown (Sunderland Urban Area),Sunderland Urban Area,,SL,HILLVIEW,BCT,MKD,PPT,ACT,,Y,,07/07/2005
5,410000000070,,433879,549646,-1.47401000000,54.84050000000,HOUGHTON KEPIER COMPREHENSIVE SCHOOL,N,N,N/A,OUTSIDE HOUGHTON KEPIER COMPREHENSIVE SCHOOL,E0030982,Houghton-le-Spring,,,SL,HOUGHTON-LE-SPRING,BCT,MKD,PPT,ACT,,Y,,24/05/2005
6,410000000071,,431352,556032,-1.51267000000,54.89805000000,JOHN F. KENNEDY PRIMARY SCHOOL,SW,SW,N/A,JOHN F. KENNEDY PRIMARY SCHOOL,E0030907,Glebe (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,COLUMBIA,BCT,MKD,PPT,ACT,,Y,,07/07/2005
7,410000000073,,432287,553110,-1.49841000000,54.87173000000,OUR LADY QUEEN OF PEACE RC. PRIMARY SCH,W,W,N/A,OUTSIDE OUR LADY QUEEN OF PEACE RC. PRIMARY SCH,E0031073,New Penshaw,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,PENSHAW,BCT,MKD,PPT,ACT,,Y,,24/05/2005
8,410000000074,,440590,553061,-1.36904000000,54.87069000000,RYHOPE INFANT AND JUNIOR SCHOOLS,N,N,N/A,OUTSIDE RYHOPE JUNIOR SCHOOL,E0031011,Leechmere,Sunderland Urban Area,,SL,RED HOUSE,BCT,MKD,PPT,ACT,,Y,,07/06/2005
9,410000000075,,430873,558435,-1.51988000000,54.91967000000,ST. BEDE'S PRIMARY SCHOOL,W,W,N/A,OUTSIDE ST BEDE'S PRIMARY SCHOOL,E0031229,Usworth,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,STEPHENSON,BCT,MKD,PPT,ACT,,Y,,07/07/2005
10,410000000077,,436535,555331,-1.43194000000,54.89140000000,ST. CUTHBERT'S RC. PRIMARY SCHOOL,W,W,N/A,ST. CUTHBERT'S RC. PRIMARY SCHOOL,E0030747,Barnes Park,Sunderland Urban Area,,SL,GRINDON,BCT,MKD,PPT,ACT,,Y,,24/05/2005
11,410000000078,,430807,556493,-1.52111000000,54.90222000000,ST. JOSEPH RC. PRIMARY SCHOOL,W,W,N/A,ST. JOSEPH RC. PRIMARY SCHOOL,E0031251,Washington Village,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,WASHINGTON VILLAGE,BCT,MKD,PPT,ACT,,Y,,24/05/2005
12,410000000079,,429429,556222,-1.54263000000,54.89987000000,ST. JOHN BOSTE RC. PRIMARY SCHOOL,N,N,N/A,OUTSIDE ST JOHN BOSTE PRIMARY SCHOOL,E0031108,Oxclose (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,OXCLOSE,BCT,MKD,PPT,ACT,,Y,,28/06/2005
13,410000000080,,438681,553452,-1.39873000000,54.87435000000,ST. LEONARD'S RC. PRIMARY SCHOOL,N,N,N/A,OUTSIDE ST. LEONARD'S RC SCHOOL,E0030963,High Newport,Sunderland Urban Area,,SL,SILKSWORTH,BCT,MKD,PPT,ACT,,Y,,06/07/2005
14,410000000081,,434117,549218,-1.47036000000,54.83663000000,ST. MICHAEL'S RC. PRIMARY SCHOOL,W,W,N/A,ST. MICHAEL'S RC. PRIMARY SCHOOL,E0031130,Rainton Bridge,Houghton-le-Spring,,SL,HOUGHTON-LE-SPRING,BCT,MKD,PPT,ACT,,Y,,24/05/2005
15,410000000082,,430834,554908,-1.52086000000,54.88798000000,ST. ROBERT OF NEWMINSTER RC. COMP SCHOOL,S,S,N/A,OUTSIDE ST ROBERT OF NEWMINSTER SCHOOL,E0030764,Biddick,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,FATFIELD,BCT,MKD,PPT,ACT,,Y,,28/06/2005
16,410000000083,,440204,555207,-1.37476000000,54.89000000000,SOUTH MOOR SCHOOL,NE,NE,N/A,SOUTH MOOR SCHOOL,E0030939,Hendon (Sunderland Urban Area),Sunderland Urban Area,,SL,GRANGETOWN,BCT,MKD,PPT,ACT,,Y,,07/07/2005
17,410000000085,,430727,557070,-1.52230000000,54.90741000000,WASHINGTON SCHOOL,E,E,N/A,WASHINGTON SCHOOL,E0031251,Washington Village,Washington (Sunderland Urban Area),Sunderland Urban Area,SL,CONCORD,BCT,MKD,PPT,ACT,,Y,,27/05/2005
18,410000000205,,430963,557587,-1.51856000000,54.91205000000,LAURENS COURT,E,E,LAURENS COURT,OUTSIDE NO.22 LAUREN COURT,E0031203,Sulgrave (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,CONCORD,BCT,MKD,PPT,ACT,,Y,,27/05/2005
19,410000000207,,438384,554590,-1.40321000000,54.88460000000,ELSTOB ESTATE (NURSERY ROAD),NE,NE,NURSERY ROAD,ELSTOB ESTATE,E0031123,Plains Farm,Sunderland Urban Area,,SL,ELSTOB,BCT,MKD,PPT,ACT,,Y,,27/05/2005
20,410000000500,,428762,558270,-1.55283000000,54.91831000000,SPRINGWELL VILLAGE SCHOOL,S,S,N/A,OUTSIDE SPRINGWELL VILLAGE SCHOOL,E0030865,Springwell (S Tyneside),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,SOUTHWICK,BCT,MKD,PPT,ACT,,Y,,27/05/2005
21,410000017011,,439002,560343,-1.39280000000,54.93624000000,SHIELDS ROAD SEABURN DENE,S,S,SHIELDS ROAD,SOUTH OF THE JUNCTION WITH DOVEDALE ROAD,E0030901,Fulwell,Sunderland Urban Area,,SL,SEABURN DENE,BCT,MKD,OTH,ACT,,Y,,04/01/2005
22,410000017012,,439043,560086,-1.39220000000,54.93394000000,NEWCASTLE ROAD,S,S,NEWCASTLE ROAD,NEWCASTLE ROAD /SHIELDS ROAD ROUNDABOUT,E0030901,Fulwell,Sunderland Urban Area,,SL,FULWELL,BCT,MKD,OTH,ACT,,Y,,03/06/2005
23,410000017013,,438994,560215,-1.39294000000,54.93509000000,SHIELDS RD A1018 S/BURN/D,N,N,SHIELDS ROAD,OPPOSITE THE NEW CHURCH,E0030901,Fulwell,Sunderland Urban Area,,SL,SEABURN DENE,BCT,MKD,OTH,ACT,,Y,,04/01/2005
24,410000017014,,438984,560489,-1.39306000000,54.93755000000,SHIELDS RD SEABURN/D N/B,N,N,SHIELDS ROAD,OUTSIDE THE ABATTOIR,E0030901,Fulwell,Sunderland Urban Area,,SL,SEABURN DENE,BCT,MKD,OTH,ACT,,Y,,25/11/2004
25,410000017033,,438550,560363,-1.39985000000,54.93645000000,N/C RD A184 E/BOLDON E/B,E,E,NEWCASTLE ROAD,OUTSIDE NINE WELLS GARDENS,E0030809,Carley Hill,Sunderland Urban Area,,ST,BOLDON,BCT,MKD,OTH,ACT,,Y,,26/11/2004
26,410000017034,,438898,560177,-1.39445000000,54.93476000000,N/C RD A184 NR FULWELL W/,W,W,NEWCASTLE ROAD,OPPOSITE HERBERT TERRACE,E0030901,Fulwell,Sunderland Urban Area,,SL,FULWELL,BCT,MKD,OTH,ACT,,Y,,04/01/2005
27,410000017035,,438535,560361,-1.40009000000,54.93644000000,N/C RD A184 E/BOLDON W/B,W,W,NEWCASTLE ROAD,OPPOSITE NINE WELLS GARDENS,E0030809,Carley Hill,Sunderland Urban Area,,ST,BOLDON,BCT,MKD,OTH,ACT,,Y,,26/11/2004
28,410000017207,,439405,560137,-1.38654000000,54.93437000000,DENE ESTATE,W,W,DOVEDALE ROAD,OUTSIDE DOVEDALE ROAD SHOPS,E0030901,Fulwell,Sunderland Urban Area,,SL,SEABURN DENE,BCT,MKD,PPT,ACT,,Y,,07/07/2005
29,410000017209,,439109,560336,-1.39113000000,54.93617000000,DOVEDALE RD SEABURN DENE,NW,NW,DOVEDALE ROAD,OUTSIDE THE LANE ARMS PUBLIC HOUSE,E0030901,Fulwell,Sunderland Urban Area,,SL,SEABURN DENE,BCT,MKD,OTH,ACT,,Y,,07/07/2005
30,410000017210,,439100,560183,-1.39129000000,54.93479000000,ALSTON CRES SEABURN/D SE/,SE,SE,ALSTON CRESCENT,OUTSIDE NO.164 ALSTON CRESCENT,E0030901,Fulwell,Sunderland Urban Area,,SL,SEABURN DENE,BCT,MKD,OTH,ACT,,Y,,04/01/2005
31,410000017211,,439247,560041,-1.38902000000,54.93352000000,ALSTON CRES SEABURN/D SE/,S,S,ALSTON CRESCENT,OUTSIDE BAMPTON AVENUE,E0030901,Fulwell,Sunderland Urban Area,,SL,SEABURN DENE,BCT,MKD,OTH,ACT,,Y,,25/11/2004
32,410000017927,,438903,560189,-1.39437000000,54.93486000000,N/CASTLE RD A184 F/WELL E,SW,SW,NEWCASTLE ROAD,OUTSIDE HERBERT TERRACE,E0030901,Fulwell,Sunderland Urban Area,,SL,FULWELL,BCT,MKD,OTH,ACT,,Y,,25/11/2004
